P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;156;;1,00;C9;0603;C;1nF;50V;5%;C0G;;;;Multilayer Ceramic Capacitor, 1nF, 50V, 5%, C0G, SMD, 0603;Kemet;C0603C102J5GAC-TU;FARNELL ITALIA S.R.L.;1650827;Kemet;C0603C102J5GAC-TU;MOUSER ELECTRONICS;80-C0603C102J5G;Kemet;C0603C102J5GAC-TU;DIGI-KEY CORPORATION;399-3293-1-ND;Kemet;C0603C102J5GAC-TU;FARNELL ITALIA S.R.L.;317202;Murata;GRM1885C1H102JA01D;RS COMPONENTS S.P.A.;624-2418;
2;665;;3,00;C27 C25 C20;0603;C;22nF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 22nF, 50V, 5%, X7R, SMD, 0603;Avx;06035C223JAT2A;DIGI-KEY CORPORATION;478-3722-2-ND;Avx;06035C223JAT2A;FARNELL ITALIA S.R.L.;1835412;Avx;06035C223JAT2A;MOUSER ELECTRONICS;581-06035C223JAT2A;
3;1035;;12,00;C31 C30 C19 C16 C14 C11 C10 C8 C1 C4 C3 C2;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1650809;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
4;1041;;2,00;C28 C24;0603;C;470nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 470nF, 16V, 10%, X7R, SMD, 0603;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644;Kemet;C0603C474K4RACTU;FARNELL ITALIA S.R.L.;1414644RL;Kemet;C0603C474K4RACTU;MOUSER ELECTRONICS;80-C0603C474K4R;Murata;GRM188R71C474KA88D;RS COMPONENTS S.P.A.;723-5626;
5;1078;;2,00;C22 C21;1210;C;1uF;100V;10%;X7R;;;;Multilayer Ceramic Capacitor, 1uF, 100V, 10%, X7R, SMD, 1210;Avx;12101C105KAT2A;FARNELL ITALIA S.R.L.;1301814;Avx;12101C105KAT2A;RS COMPONENTS S.P.A.;698-3740;Avx;12101C105KAT2A;MOUSER ELECTRONICS;581-12101C105KAT2A;
6;1079;;1,00;C23;1210;C;100uF;6.3V;20%;X5R;;;;Multilayer Ceramic Capacitor, 100uF, 6.3V, 10%, X5R, SMD, 1210;Kemet;C1210C107M9PAC7800;FARNELL ITALIA S.R.L.;1108328;Kemet;C1210C107M9PAC7800;RS COMPONENTS S.P.A.;691-1243;Kemet;C1210C107M9PAC7800;MOUSER ELECTRONICS;80-C1210C107M9P;
7;1324;;1,00;C7;0402;C;1uF;10V;10%;X5R;;;;OBSOLETE - Multilayer Ceramic Capacitor, 1uF, 10V, 10%, X5R, SMD, 0402;Phycomp;CC0402KRX5R6BB105;FARNELL ITALIA S.R.L.;1458896;Phycomp;CC0402KRX5R6BB105;MOUSER ELECTRONICS;603-CC402KRX5R6BB105;TDK;C1005X5R1A105KT;RS COMPONENTS S.P.A.;741-4396;
8;1348;;1,00;C6;0402;C;10nF;25V;10%;X7R;;;;Multilayer Ceramic Capacitor, 10nF, 25V, 10%, X7R, SMD, 0402;Kemet;C0402C103K3RAC7867;RS COMPONENTS S.P.A.;147-049;Kemet;C0402C103K3RAC7867;FARNELL ITALIA S.R.L.;1650806RL;Kemet;C0402C103K3RAC7867;MOUSER ELECTRONICS;80-C0402C103K3R;
9;1421;;1,00;C5;0805;C;4.7uF;6.3V;10%;X5R;;;;Multilayer Ceramic Capacitor, 4.7uF, 6.3V, 10%, X5R, SMD, 0805;Murata;GRM219R60J475KE19D;FARNELL ITALIA S.R.L.;9522999;Murata;GRM219R60J475KE19D;RS COMPONENTS S.P.A.;624-2705;Murata;GRM219R60J475KE19D;MOUSER ELECTRONICS;81-GRM219R60J475KE9D;
10;1684;;1,00;C26;0402;C;330pF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 330pF, 50V, 10%, X7R, SMD, 0402;TDK;C1005X7R1H331K;DIGI-KEY CORPORATION;445-4910-6-ND;TDK;C1005X7R1H331K;RS COMPONENTS S.P.A.;111-062;TDK;C1005X7R1H331K;FARNELL ITALIA S.R.L.;1844140;TDK;C1005X7R1H331K;MOUSER ELECTRONICS;810-C1005X7R1H331K;
11;6154;;1,00;C29;CAPPOL1210;C;33uF;16V;10%;Tantalum;0.35ohm;;125C;Tantalum Capacitor, 33uF, 16V, 10%, SMD, 1210;AVX;TPSB336K016R0350;FARNELL ITALIA S.R.L.;1658966;
28;1652;;1,00;DL1;LED0603;DL;RED;40mcd;;;;;;Led diode, red, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511UWT86R;FARNELL ITALIA S.R.L.;1685073;
29;1653;;3,00;DL6 DL3 DL2;LED0603;DL;ORANGE;40mcd;;;;;;Led diode, orange, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511DWT86R;FARNELL ITALIA S.R.L.;1685072;
30;1654;;1,00;DL4;LED0603;DL;GREEN;40mcd;;;;;;Led diode, green, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-512MWT86R;FARNELL ITALIA S.R.L.;1685076;
31;1655;;1,00;DL5;LED0603;DL;BLUE;100mcd;;;;;;Led diode, blue, 4V, 25mA, 100mcd, SMD, 0603;Avago technologies;OVS-0603;FARNELL ITALIA S.R.L.;1716770;
32;4565;;1,00;DL7;LED3MM;DL;BLUE;470mcd;;;;;;Led diode, blue, 3.2V, 20mA, 470mcd, THD, 3mm, cylindrical, round top;Rohm;SLR-343BC7T3F;MOUSER ELECTRONICS;755-SLR-343BC7T3F;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
33;241;;1,00;U4;SOT23-8;DR;MAX3051;3.3V;;;;;;CAN Transceiver, 3.3V, SMD, SOT23-8;Maxim;MAX3051EKA;DIGI-KEY CORPORATION;MAX3051EKA+T-ND;Maxim;MAX3051EKA;RS COMPONENTS S.P.A.;732-8992;Maxim;MAX3051EKA;MOUSER ELECTRONICS;700-MAX3051EKAT;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;;;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
34;6188;;2,00;MEC2 MEC1;-;FAST;SMTRAM25-6-5ET;;;;;;;PEM Surface Mount Right Angle Fastener - Type SMTRA;Penn Engineering;SMTRAM25-6-5ET;TAG CONTROL S.R.L.;PEM_SMTRA_M25_6_5ET;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
35;545;;1,00;FL1;WE-SL1;FI;330uH@100KHz;+/-40%;300mA;80Vdc;;;;Common mode line filter, 330uH, 300mA, 80Vdc, SMD, 6.5x3.6mm;Wurth Elektronik;744212331;RS COMPONENTS S.P.A.;500-3199;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Inductance;Current;Tolerance;SRF;RMS;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
36;1122;;1,00;L1;4p8x4p8;L;33uH;820mA;10%;16MHz;;;;Inductance, 33uH, 820mA, 10%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043330;DIGI-KEY CORPORATION;732-1108-1-ND;Wurth Elektronic;744043330;RS COMPONENTS S.P.A.;744-4763;Bourns;SRR4028-330Y;DIGI-KEY CORPORATION;SRR4028-330YCT-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
37;6190;;1,00;U1;-;MI;STM32F103R8T6;32bit;;;AM;;;Microcontroller ARM Cortex-M3, 32Bits, 72MHz, 64kB FLASH, 20kB SRAM, 2.0/3.6V, SMD, LQFP64;St microelectronics;STM32F103R8T6;FARNELL ITALIA S.R.L.;1447638;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
38;6116.0;;1,00;;;PCB;BCB_0;;;;AM;;;BCB, IIT - Printed Circuit Board, Backpack Control Board with CAN/I2C/Bluetooth/Serial interface;IIT;6116;EES S.P.A.;6116;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Load capacitance;Stability;Frequency;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
39;1278;;1,00;Y1;S2;Q;S23305-10.000-X;-;50ppm;10MHz;;;;Oscillator, 10MHz, 3.3V, 50ppm, SMD, 2.5x2mm;Aker;S23305-10.000-X;RS COMPONENTS S.P.A.;671-9763;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
40;256;;1,00;R28;0603;R;120R;0.063W;1%;100ppm;;;;Resistor Thick Film, 120R, 0.063W, 1%, SMD, 0603;Multicomp;MC-0.063W-0603-1%-120R;FARNELL ITALIA S.R.L.;9330496;Multicomp;MC-0.063W-0603-1%-120R;FARNELL ITALIA S.R.L.;9238379;
41;435;;1,00;R17;0603;R;0R;0.1W;5%;100ppm;;;;Resistor Thick film, 0R, 0.1W, 5%, SMD, 0603;Panasonic;ERJ-3GEY0R00V;DIGI-KEY CORPORATION;P0.0GCT-ND;Panasonic;ERJ-3GEY0R00V;DIGI-KEY CORPORATION;P0.0GTR-ND;Bourns;CR0603-J/-000ELF;FARNELL ITALIA S.R.L.;2008343RL;
42;444;;3,00;R12 R9 R7;0603;R;100R;0.1W;1%;100ppm;;;;Resistor Thick film 100R, 0.1W, 1%, SMD, 0603;Phycomp;RC0603FR-07100RL;DIGI-KEY CORPORATION;311-100HRTR-ND;Phycomp;RC0603FR-07100RL;FARNELL ITALIA S.R.L.;9238360;Phycomp;RC0603FR-07100RL;RS COMPONENTS S.P.A.;504-8912;Phycomp;RC0603FR-07100RL;MOUSER ELECTRONICS;603-RC0603FR-07100RL;
43;461;;1,00;R22;0603;R;12K;0.1W;1%;100ppm;;;;Resistor Thick film, 12K, 0.1W, 1%, SMD, 0603;Phycomp;RC0603FR-0712KL;DIGI-KEY CORPORATION;311-12.0KHRTR-ND;Phycomp;RC0603FR-0712KL;FARNELL ITALIA S.R.L.;9238611;Phycomp;RC0603FR-0712KL;FARNELL ITALIA S.R.L.;9238611RL;
44;808;;1,00;R23;0603;R;22K;0.1W;0.1%;25ppm;;;;Resistor Precision thin film, 22K, 0.1W, 0.1%, SMD, 0603;Panasonic;ERA3AEB223V;FARNELL ITALIA S.R.L.;1577624;
45;1087;;11,00;R33 R32 R31 R30 R27 R26 R25 R15 R14 R13 R10;0402;R;220R;0.063W;1%;100ppm;;;;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
46;1106;;1,00;R18;0402;R;3K01;0.063W;1%;100ppm;;;;Resistor Thick film, 3K01, 0.063W, 1%, SMD, 0402;Vishay;CRCW04023K01FKED;FARNELL ITALIA S.R.L.;1151124;
47;1107;;3,00;R20 R11 R8;0402;R;4K7;0.063W;1%;100ppm;;;;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
48;1109;;4,00;R35 R34 R6 R5;0402;R;10K;0.063W;1%;250ppm;;;;Resistor Thick film, 10K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0710KL;FARNELL ITALIA S.R.L.;9239359RL;
49;1114;;1,00;R19;0402;R;68K;0.063W;1%;250ppm;;;;Resistor Thick film, 68K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0768K;FARNELL ITALIA S.R.L.;9239456RL;
50;1273;;1,00;R24;0402;R;1K5;0.063W;1%;100ppm;;;;Resistor Thick film, 1K5, 0.063W, 1%, SMD, 0402;Vishay;CRCW04021K50FKED;FARNELL ITALIA S.R.L.;1653201RL;
51;1274;;1,00;R16;0402;R;47K;0.063W;1%;100ppm;;;;Resistor Thick film, 47K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0747KL;FARNELL ITALIA S.R.L.;9239430;Yageo;RC0402FR-0747KL;FARNELL ITALIA S.R.L.;9239430RL;
52;1418;;1,00;R29;0603;R;100R;0.063W;1%;200ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0603;Multicomp;MC 0.063W 0603 1% 100R;FARNELL ITALIA S.R.L.;9330364;
53;1704;;1,00;R21;0402;R;12K;0.063W;1%;200ppm;;;;Resistor Thick film, 12K, 0.063W, 1%, SMD, 0402;Vishay;CRCW040212K0FKED;DIGI-KEY CORPORATION;541-12.0KLDKR-ND;Vishay;CRCW040212K0FKED;FARNELL ITALIA S.R.L.;2140866RL;
54;4001;;2,00;R4 R1;0402;R;100K;0.063W;1%;250ppm;;;;Resistor Thick film, 100K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07100KL;FARNELL ITALIA S.R.L.;9239472RL;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
55;1008;;1,00;U2;HTSSOP16;RG;LM5575MH;6V/75V;;;;;;Voltage regulator, switching, step-down, Vin 6/75V, Vout 1.225V, 1.5A, SMD, HTSSOP16;National Semiconductor;LM5575MH;FARNELL ITALIA S.R.L.;1325420;
56;6282;;1,00;U3;SOT223-3;RG;LM3940IMP-3.3;4.5/7.5V;;;;;;Voltage regulator, linear, Vin 4.5/7.5V, Vout 3.3V, 1A, SMD, SOT223-3;Texas Instruments;LM3940IMP-3.3/NOPB;FARNELL ITALIA S.R.L.;1469104;Texas Instruments;LM3940IMP-3.3/NOPB;RS COMPONENTS S.P.A.;536-1546;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
57;634;;1,00;PB3;KMR231G;SW;KMR231G;32V;;;;;;Switch button, SPST, horizontal, 32Vdc, 5x3mm, SMD;C&K;Y78B23110FP (KMR231G);RS COMPONENTS S.P.A.;505-9192;C&K;Y78B23110FP (KMR231G);FARNELL ITALIA S.R.L.;1437636;
58;6189;;2,00;PB2 PB1;;SW;5GSH9358222;24Vdc;;AM;;;;Switch button, SPST, 2 leds integrated Red/Green, 24Vdc, 10x8mm, SMD;MEC;5GSH9358222;FARNELL ITALIA S.R.L.;2280479;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Power;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
59;4148;;3,00;Q3 Q2 Q1;SOT23;TR;ZXMN2B14FH;1W;;;;;;N-Channel Mosfet, Vds=20V, Id=4.3A, Rds=55mR, SMD, SOT23;Zetex;ZXMN2B14FH;RS COMPONENTS S.P.A.;708-2636;Zetex;ZXMN2B14FH;FARNELL ITALIA S.R.L.;1426252;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
60;6191;;1,00;U5;-;TX;RN42;30mA;;;AM;;;Module Bluetooth 2.1, Class 2, with antenna;Microchip;RN42-I/RM;FARNELL ITALIA S.R.L.;2143310;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
61;1035;X;5,00;C18 C17 C15 C13 C12;0402;C;100nF;16V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 16V, 10%, X7R, SMD, 0402;Yageo;C0402KRX7R7BB104;FARNELL ITALIA S.R.L.;9402047;Yageo;C0402KRX7R7BB104;RS COMPONENTS S.P.A.;616-9701;Kemet;C0402C104K4RAC-TU;FARNELL ITALIA S.R.L.;1650809;Kemet;C0402C104K4RAC-TU;MOUSER ELECTRONICS;80-C0402C104K4R;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
62;1080;X;1,00;R36;0402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;
63;1109;X;2,00;R3 R2;0402;R;10K;0.063W;1%;250ppm;;;;Resistor Thick film, 10K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0710KL;FARNELL ITALIA S.R.L.;9239359RL;
