************************************************************************************************
*                                                                                              *
* CROSS REFERENCE NET LIST REPORT                                                              *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:16 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    XCOORD       YCOORD       NET NAMES                                
C67.2       2404.30 m    1264.00 m   GND                                                                                
                                                                                                                        
C68.1       1676.30 m    1864.00 m   N17054700                                                                          
C68.2       1715.70 m    1864.00 m   GND                                                                                
                                                                                                                        
C69.1       1491.00 m    1608.00 m   VIN                                                                                
C69.2       1421.00 m    1608.00 m   GND                                                                                
                                                                                                                        
C70.1       1207.40 m    1816.00 m   N17054778                                                                          
C70.2       1256.60 m    1816.00 m   N17054860                                                                          
                                                                                                                        
C71.1       1936.00 m    1408.93 m   N17011370                                                                          
C71.2       1936.00 m    1755.07 m   GND                                                                                
                                                                                                                        
C72.1       2366.00 m    1408.93 m   N17011370                                                                          
C72.2       2366.00 m    1755.07 m   GND                                                                                
                                                                                                                        
C73.1       2064.50 m    1208.00 m   N17011370                                                                          
C73.2       1839.50 m    1208.00 m   GND                                                                                
                                                                                                                        
C74.1       1813.00 m    1064.00 m   N17011370                                                                          
C74.2       1883.00 m    1064.00 m   GND                                                                                
                                                                                                                        
C75.1       2016.60 m    1064.00 m   N17011370                                                                          
C75.2       1967.40 m    1064.00 m   GND                                                                                
                                                                                                                        
C76.1       2392.00 m    2507.70 m   N170113250                                                                         
C76.2       2392.00 m    2468.30 m   GND                                                                                
                                                                                                                        
C77.1       1795.70 m    1832.00 m   V12BOARD_EN                                                                        
C77.2       1756.30 m    1832.00 m   GND                                                                                
                                                                                                                        
C78.1       1779.70 m    1800.00 m   N17054674                                                                          
C78.2       1740.30 m    1800.00 m   GND                                                                                
                                                                                                                        
C79.1       1684.30 m    1768.00 m   N17054688                                                                          
C79.2       1723.70 m    1768.00 m   GND                                                                                
                                                                                                                        
C80.1       1684.30 m    1672.00 m   N17054750                                                                          
C80.2       1723.70 m    1672.00 m   N17054732                                                                          
                                                                                                                        
C81.1       1328.00 m    1619.70 m   N17054666                                                                          
C81.2       1328.00 m    1580.30 m   GND                                                                                
                                                                                                                        
C82.1       1684.30 m    1640.00 m   N17054750                                                                          
C82.2       1723.70 m    1640.00 m   N17054832                                                                          
                                                                                                                        
C83.1       1688.00 m    1091.70 m   V12BOARD_CURRENT                                                                   
C83.2       1688.00 m    1052.30 m   GND                                                                                
                                                                                                                        
C84.1       1332.30 m    712.00 m    V12BOARD_VOLTAGE                                                                   
C84.2       1371.70 m    712.00 m    GND                                                                                
                                                                                                                        
C85.1       1427.70 m    536.00 m    3V3                                                                                
C85.2       1388.30 m    536.00 m    GND                                                                                
                                                                                                                        
C86.1       3171.70 m    1648.00 m   N17056508                                                                          
C86.2       3132.30 m    1648.00 m   GND                                                                                
                                                                                                                        
C87.1       3704.00 m    1728.60 m   N17056576                                                                          
C87.2       3704.00 m    1679.40 m   N17056648                                                                          
                                                                                                                        
C88.1       3453.00 m    1592.00 m   VIN                                                                                
C88.2       3523.00 m    1592.00 m   GND                                                                                
                                                                                                                        
C89.1       2810.00 m    1408.93 m   N17012134                                                                          
C89.2       2810.00 m    1755.07 m   GND                                                                                
                                                                                                                        
C90.1       2928.50 m    1200.00 m   N17012134                                                                          
C90.2       2703.50 m    1200.00 m   GND                                                                                
                                                                                                                        
C91.1       2755.00 m    1048.00 m   N17012134                                                                          
C91.2       2685.00 m    1048.00 m   GND                                                                                
                                                                                                                        
C92.1       2896.60 m    1048.00 m   N17012134                                                                          
C92.2       2847.40 m    1048.00 m   GND                                                                                
                                                                                                                        
C93.1       2912.00 m    2532.30 m   N170120310                                                                         
C93.2       2912.00 m    2571.70 m   GND                                                                                
                                                                                                                        
C94.1       3171.70 m    1608.00 m   V12MOTOR_EN                                                                        
C94.2       3132.30 m    1608.00 m   GND                                                                                
                                                                                                                        
C95.1       3283.70 m    1688.00 m   N17056482                                                                          
C95.2       3244.30 m    1688.00 m   GND                                                                                
                                                                                                                        
C96.1       3132.30 m    1736.00 m   N17056496                                                                          
C96.2       3171.70 m    1736.00 m   GND                                                                                
                                                                                                                        
C97.1       3515.70 m    1872.00 m   N17056472                                                                          
C97.2       3476.30 m    1872.00 m   GND                                                                                
                                                                                                                        
C98.1       1780.30 m    1368.00 m   V12MOTOR_CURRENT                                                                   
C98.2       1819.70 m    1368.00 m   GND                                                                                
                                                                                                                        
C99.1       3275.70 m    1784.00 m   N17056560                                                                          
C99.2       3236.30 m    1784.00 m   N17056610                                                                          
                                                                                                                        
C100.1      3275.70 m    1816.00 m   N17056560                                                                          
C100.2      3236.30 m    1816.00 m   N17056540                                                                          
                                                                                                                        
C101.1      1451.70 m    712.00 m    V12MOTOR_VOLTAGE                                                                   
C101.2      1412.30 m    712.00 m    GND                                                                                
                                                                                                                        
C102.1      2405.00 m    288.00 m    VBATTERY                                                                           
C102.2      2475.00 m    288.00 m    GND                                                                                
                                                                                                                        
C103.1      1420.30 m    976.00 m    BATTERY_VOLTAGE                                                                    
C103.2      1459.70 m    976.00 m    GND                                                                                
                                                                                                                        
C104.1      3359.00 m    944.00 m    N17410749                                                                          
C104.2      3289.00 m    944.00 m    GND                                                                                
                                                                                                                        
C105.1      1652.00 m    1113.70 m   VINPUT_VOLTAGE                                                                     
C105.2      1652.00 m    1074.30 m   GND                                                                                
                                                                                                                        
C106.1      2339.00 m    288.00 m    VEXTPS                                                                             
C106.2      2269.00 m    288.00 m    GND                                                                                
                                                                                                                        
C107.1      1508.30 m    1344.00 m   EXTPS_VOLTAGE                                                                      
C107.2      1547.70 m    1344.00 m   GND                                                                                
                                                                                                                        
C108.1      1358.00 m    845.00 m    N17411004                                                                          
C108.2      1358.00 m    775.00 m    GND                                                                                
                                                                                                                        
C109.1      3303.48 m    1360.00 m   VIN                                                                                
C109.2      3736.52 m    1360.00 m   GND                                                                                
                                                                                                                        
C110.1      3861.00 m    1152.00 m   VIN                                                                                
C110.2      3931.00 m    1152.00 m   GND                                                                                
                                                                                                                        
C111.1      1124.30 m    2592.00 m   N17245552                                                                          
C111.2      1163.70 m    2592.00 m   GND                                                                                
                                                                                                                        
C112.1      1124.30 m    2656.00 m   N17245550                                                                          
C112.2      1163.70 m    2656.00 m   GND                                                                                
                                                                                                                        
C113.1      1124.30 m    2720.00 m   N17276000                                                                          
C113.2      1163.70 m    2720.00 m   GND                                                                                
                                                                                                                        
C114.1      1124.30 m    2784.00 m   N17245546                                                                          
C114.2      1163.70 m    2784.00 m   GND                                                                                
                                                                                                                        
D1.1        3064.00 m    1104.00 m   VIN                                                                                
D1.2        3234.00 m    1104.00 m   GND                                                                                
                                                                                                                        
D2.1        3185.87 m    1630.13 m   N17009718                                                                          
D2.2        3185.87 m    1777.87 m   V48MOTOR                                                                           
                                                                                                                        
D3.1        1784.00 m    2760.00 m   V48MOTOR                                                                           
D3.2        2065.00 m    2760.00 m   GND                                                                                
                                                                                                                        
D4.1        4120.00 m    712.00 m    N17211568                                                                          
D4.2        4120.00 m    859.75 m    N17211793                                                                          
                                                                                                                        
D5.1        4073.87 m    350.13 m    N17212811                                                                          
D5.2        4073.87 m    497.87 m    N17212831                                                                          
                                                                                                                        
D6.1        1768.00 m    2488.00 m   N17054887                                                                          
D6.3        1768.00 m    2288.00 m   N17054887                                                                          
D6.2        1318.00 m    2388.00 m   N17054778                                                                          
                                                                                                                        
D7.1        3056.00 m    2352.00 m   N17056677                                                                          
D7.3        3056.00 m    2552.00 m   N17056677                                                                          
D7.2        3506.00 m    2452.00 m   N17056576                                                                          
                                                                                                                        
D8.1        2956.00 m    484.00 m    VBATTERY                                                                           
D8.2        2956.00 m    314.00 m    GND                                                                                
                                                                                                                        
D9.1        1789.00 m    481.00 m    VEXTPS                                                                             
D9.2        1789.00 m    311.00 m    GND                                                                                
                                                                                                                        
DL1.1       1466.00 m    1976.47 m   LED0_BATTERY                                                                       
DL1.2       1466.00 m    2035.53 m   N17218233                                                                          
                                                                                                                        
DL2.1       1408.00 m    1976.47 m   LED1_BATTERY                                                                       
DL2.2       1408.00 m    2035.53 m   N17218273                                                                          
                                                                                                                        
DL3.1       1350.00 m    1976.47 m   LED2_BATTERY                                                                       
DL3.2       1350.00 m    2035.53 m   N17218308                                                                          
                                                                                                                        
DL4.1       1292.00 m    1976.47 m   LED3_BATTERY                                                                       
DL4.2       1292.00 m    2035.53 m   N17218343                                                                          
                                                                                                                        
DL5.1       1234.00 m    1976.47 m   LED4_BATTERY                                                                       
DL5.2       1234.00 m    2035.53 m   N17218384                                                                          
                                                                                                                        
DL6.1       429.53 m     560.00 m    CAN1_LED                                                                           
DL6.2       370.47 m     560.00 m    N16984931                                                                          
                                                                                                                        
DL7.2       2318.00 m    1182.00 m   N17218535                                                                          
DL7.1       2418.00 m    1182.00 m   LED_BT                                                                             
                                                                                                                        
DL8.1       893.53 m     2296.00 m   GND                                                                                
DL8.2       834.47 m     2296.00 m   N17003640                                                                          
                                                                                                                        
DL9.1       893.53 m     2240.00 m   GND                                                                                
DL9.2       834.47 m     2240.00 m   N17003672                                                                          
                                                                                                                        
DL10.1      893.53 m     2184.00 m   GND                                                                                
DL10.2      834.47 m     2184.00 m   N17003705                                                                          
                                                                                                                        
DL11.1      1850.47 m    1120.00 m   V48MOTOR_PG                                                                        
DL11.2      1909.53 m    1120.00 m   N17217412                                                                          
                                                                                                                        
DL12.1      1850.47 m    1184.00 m   V48MOTOR_FLT                                                                       
DL12.2      1909.53 m    1184.00 m   N17217432                                                                          
                                                                                                                        
DL13.1      2554.47 m    1168.00 m   N17211767                                                                          
DL13.2      2613.53 m    1168.00 m   V5                                                                                 
                                                                                                                        
DL14.1      2554.47 m    1096.00 m   N17213111                                                                          
DL14.2      2613.53 m    1096.00 m   3V3                                                                                
                                                                                                                        
DL15.1      2690.47 m    1192.00 m   GND                                                                                
DL15.2      2749.53 m    1192.00 m   N17055271                                                                          
                                                                                                                        
DL16.1      2690.47 m    1096.00 m   GND                                                                                
DL16.2      2749.53 m    1096.00 m   N17056406                                                                          
                                                                                                                        
FL8.1       504.00 m     696.00 m    CANL                                                                               
FL8.3       405.67 m     696.00 m    CANH                                                                               
FL8.4       405.67 m     495.40 m    N16984428                                                                          
FL8.2       454.83 m     696.00 m    << unused >>                                                                       
FL8.5       504.00 m     495.40 m    N16984422                                                                          
                                                                                                                        
FL12.1      1053.55 m    2828.30 m   N17245546                                                                          
FL12.5      1053.55 m    2867.70 m   N17277064                                                                          
FL12.2      1033.95 m    2828.40 m   N17276000                                                                          
FL12.3      1014.35 m    2828.40 m   N17245550                                                                          
FL12.4      994.35 m     2828.40 m   N17245552                                                                          
FL12.6      1033.95 m    2867.60 m   N17277185                                                                          
FL12.7      1014.35 m    2867.60 m   N17277076                                                                          
FL12.8      994.35 m     2867.60 m   N17277088                                                                          
                                                                                                                        
FL14.1      947.70 m     456.00 m    GND                                                                                
FL14.2      908.30 m     456.00 m    N17221945                                                                          
                                                                                                                        
FL15.1      908.30 m     424.00 m    N17221858                                                                          
FL15.2      947.70 m     424.00 m    V5                                                                                 
                                                                                                                        
FL16.1      908.30 m     392.00 m    N17221858                                                                          
FL16.2      947.70 m     392.00 m    3V3                                                                                
                                                                                                                        
FL17.1      963.70 m     2568.00 m   N17245438                                                                          
FL17.2      924.30 m     2568.00 m   V5                                                                                 
                                                                                                                        
FL18.1      963.70 m     2600.00 m   N17245438                                                                          
FL18.2      924.30 m     2600.00 m   3V3                                                                                
                                                                                                                        
FL19.1      1547.70 m    2744.00 m   GND                                                                                
FL19.2      1508.30 m    2744.00 m   N17245729                                                                          
                                                                                                                        
FL21.1      904.00 m     2723.70 m   N17192858                                                                          
FL21.2      904.00 m     2684.30 m   V5                                                                                 
                                                                                                                        
FL22.1      936.00 m     2723.70 m   N17192858                                                                          
FL22.2      936.00 m     2684.30 m   3V3                                                                                
                                                                                                                        
FL23.1      728.00 m     2716.30 m   GND                                                                                
FL23.2      728.00 m     2755.70 m   N17192854                                                                          
                                                                                                                        
FL24.1      1099.70 m    2048.00 m   3V3                                                                                
FL24.2      1060.30 m    2048.00 m   VCC                                                                                
                                                                                                                        
FL25.1      1184.00 m    2051.70 m   GND                                                                                
FL25.2      1184.00 m    2012.30 m   DGND                                                                               
                                                                                                                        
J1.1        754.00 m     834.00 m    VCC                                                                                
J1.2        754.00 m     994.00 m    TMS                                                                                
J1.3        804.00 m     834.00 m    DGND                                                                               
J1.4        804.00 m     994.00 m    TCK                                                                                
J1.5        854.00 m     834.00 m    DGND                                                                               
J1.6        854.00 m     994.00 m    TDO                                                                                
J1.7        904.00 m     834.00 m    << unused >>                                                                       
J1.8        904.00 m     994.00 m    TDI                                                                                
J1.9        954.00 m     834.00 m    DGND                                                                               
J1.10       954.00 m     994.00 m    ~RESET                                                                             
J1.11       1004.00 m    834.00 m    DGND                                                                               
J1.12       1004.00 m    994.00 m    TRACECLK                                                                           
J1.13       1054.00 m    834.00 m    DGND                                                                               
J1.14       1054.00 m    994.00 m    TRACED0                                                                            
J1.15       1104.00 m    834.00 m    DGND                                                                               
J1.16       1104.00 m    994.00 m    TRACED1                                                                            
J1.17       1154.00 m    834.00 m    DGND                                                                               
J1.18       1154.00 m    994.00 m    TRACED2                                                                            
J1.19       1204.00 m    834.00 m    DGND                                                                               
J1.20       1204.00 m    994.00 m    TRACED3                                                                            
                                                                                                                        
J2.1        1140.00 m    412.00 m    N17194422                                                                          
J2.2        1189.25 m    412.00 m    JACK                                                                               
J2.3        1238.50 m    412.00 m    FAULT_GPIO                                                                         
J2.4        1287.75 m    412.00 m    GND                                                                                
J2.6        1392.00 m    303.60 m    << unused >>                                                                       
J2.5        1039.60 m    303.60 m    << unused >>                                                                       
                                                                                                                        
J3.1        927.70 m     2791.93 m   N17192858                                                                          
J3.2        878.45 m     2791.93 m   GPIO1                                                                              
J3.3        829.20 m     2791.93 m   GPIO2                                                                              
J3.4        779.95 m     2791.93 m   N17192854                                                                          
J3.6        675.70 m     2905.93 m   << unused >>                                                                       
J3.5        1028.00 m    2906.00 m   << unused >>                                                                       
                                                                                                                        
J4.1        574.00 m     364.00 m    GND                                                                                
J4.2        623.25 m     364.00 m    N17221858                                                                          
J4.3        672.50 m     364.00 m    N16984428                                                                          
J4.4        721.75 m     364.00 m    N16984422                                                                          
J4.8        924.07 m     249.93 m    << unused >>                                                                       
J4.7        473.70 m     249.93 m    << unused >>                                                                       
J4.5        771.00 m     364.00 m    N17221945                                                                          
J4.6        820.25 m     364.00 m    GND                                                                                
                                                                                                                        
J5.1        818.00 m     344.00 m    N17221858                                                                          
J5.2        758.95 m     344.00 m    N16984428                                                                          
J5.3        699.90 m     344.00 m    N16984422                                                                          
J5.4        640.85 m     344.00 m    N17221945                                                                          
J5.5        581.80 m     344.00 m    GND                                                                                
                                                                                                                        
J6.1        1546.00 m    2796.00 m   3V3                                                                                
J6.2        1496.75 m    2796.00 m   << unused >>                                                                       
J6.3        1447.50 m    2796.00 m   N16995618                                                                          
J6.4        1398.25 m    2796.00 m   N16995603                                                                          
J6.8        1195.93 m    2910.07 m   GND                                                                                
J6.7        1646.30 m    2910.07 m   GND                                                                                
J6.5        1349.00 m    2796.00 m   N16995620                                                                          
J6.6        1299.75 m    2796.00 m   GND                                                                                
                                                                                                                        
J7.1        700.00 m     666.00 m    V5                                                                                 
J7.2        749.25 m     666.00 m    RX_DSPL                                                                            
J7.3        798.50 m     666.00 m    TX_DSPL                                                                            
J7.4        847.75 m     666.00 m    GND                                                                                
J7.6        1001.20 m    557.60 m    GND                                                                                
J7.7        599.60 m     557.60 m    GND                                                                                
J7.5        896.80 m     666.00 m    RST_DSPL                                                                           
                                                                                                                        
J8.2        515.83 m     2708.78 m   V12MOTOR                                                                           
J8.6        469.87 m     2448.80 m   GND                                                                                
J8.5        170.70 m     2748.45 m   GND                                                                                
J8.1        432.33 m     2792.29 m   V48MOTOR                                                                           
J8.3        561.30 m     2921.26 m   GND                                                                                
J8.4        644.74 m     2837.83 m   GND                                                                                
                                                                                                                        
J9.2        516.28 m     2000.07 m   GND                                                                                
J9.4        470.32 m     1740.09 m   GND                                                                                
J9.3        171.15 m     2039.74 m   GND                                                                                
J9.1        432.78 m     2083.57 m   V48MOTOR                                                                           
                                                                                                                        
J10.2       552.61 m     1273.45 m   V48MOTOR                                                                           
J10.8       209.31 m     1311.28 m   GND                                                                                
J10.7       592.28 m     928.32 m    GND                                                                                
J10.1       636.12 m     1189.94 m   V48MOTOR                                                                           
J10.4       765.09 m     1318.92 m   GND                                                                                
J10.5       681.65 m     1402.35 m   GND                                                                                
J10.3       468.96 m     1357.10 m   V48MOTOR                                                                           
J10.6       597.94 m     1486.07 m   GND                                                                                
                                                                                                                        
J11.2       3511.90 m    844.00 m    V48MOTOR                                                                           
J11.6       3360.57 m    627.67 m    GND                                                                                
J11.5       3784.00 m    628.00 m    GND                                                                                
J11.1       3630.00 m    844.00 m    V48MOTOR                                                                           
J11.3       3630.00 m    1026.40 m   GND                                                                                
J11.4       3512.00 m    1026.40 m   GND                                                                                
                                                                                                                        
J12.2       4305.97 m    2793.15 m   V12MOTOR                                                                           
