************************************************************************************************
*                                                                                              *
* CROSS REFERENCE NET LIST REPORT                                                              *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:16 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    XCOORD       YCOORD       NET NAMES                                
U1.98       956.00 m     1315.40 m   << unused >>                                                                       
U1.99       956.00 m     1295.70 m   VCC                                                                                
U1.100      956.00 m     1276.00 m   VCC                                                                                
                                                                                                                        
U2.1        384.00 m     1752.00 m   DGND                                                                               
U2.2        384.00 m     1726.42 m   DGND                                                                               
U2.3        384.00 m     1700.83 m   DGND                                                                               
U2.4        384.00 m     1675.25 m   DGND                                                                               
U2.5        639.83 m     1675.25 m   I2C1_SDA                                                                           
U2.6        639.83 m     1700.83 m   I2C1_SCL                                                                           
U2.7        639.83 m     1726.42 m   I2C1_WP                                                                            
U2.8        639.83 m     1752.00 m   VCC                                                                                
                                                                                                                        
U3.1        416.00 m     872.00 m    CAN1_TX                                                                            
U3.2        441.58 m     872.00 m    GND                                                                                
U3.3        467.17 m     872.00 m    3V3                                                                                
U3.4        492.75 m     872.00 m    CAN1_RX                                                                            
U3.5        492.70 m     765.80 m    CAN1_SHDN                                                                          
U3.6        467.13 m     765.80 m    CANL                                                                               
U3.7        441.57 m     765.80 m    CANH                                                                               
U3.8        416.00 m     765.80 m    N17222479                                                                          
                                                                                                                        
U4.1        257.80 m     2464.11 m   GND                                                                                
U4.2        291.17 m     2430.74 m   << unused >>                                                                       
U4.9        562.34 m     2190.15 m   GND                                                                                
U4.3        324.55 m     2397.36 m   << unused >>                                                                       
U4.4        357.92 m     2363.99 m   << unused >>                                                                       
U4.5        391.30 m     2330.61 m   BT_RX                                                                              
U4.6        424.67 m     2297.24 m   BT_TX                                                                              
U4.7        458.05 m     2263.86 m   BT_SW_WAKE                                                                         
U4.8        491.42 m     2230.48 m   BT_MLDP                                                                            
U4.10       623.53 m     2237.44 m   BT_PIO1                                                                            
U4.11       656.91 m     2270.81 m   BT_PIO2                                                                            
U4.12       690.28 m     2304.19 m   BT_PIO3                                                                            
U4.13       723.66 m     2337.56 m   << unused >>                                                                       
U4.14       757.03 m     2370.94 m   BT_RTS                                                                             
U4.15       790.41 m     2404.31 m   BT_HW_WAKE                                                                         
U4.17       797.36 m     2536.43 m   << unused >>                                                                       
U4.18       763.99 m     2569.80 m   BT_CTS                                                                             
U4.19       730.61 m     2603.17 m   << unused >>                                                                       
U4.20       697.24 m     2636.55 m   << unused >>                                                                       
U4.21       663.86 m     2669.93 m   << unused >>                                                                       
U4.22       630.48 m     2703.30 m   << unused >>                                                                       
U4.23       597.11 m     2736.68 m   3V3                                                                                
U4.24       563.73 m     2770.05 m   GND                                                                                
U4.16       837.69 m     2465.50 m   GND                                                                                
U4.25       490.04 m     2815.94 m   GND                                                                                
U4.26       210.51 m     2533.65 m   GND                                                                                
                                                                                                                        
U5.1        988.15 m     2402.50 m   3V3                                                                                
U5.2        1016.67 m    2364.15 m   SPI1_MISO                                                                          
U5.3        1036.33 m    2364.15 m   SPI1_MOSI                                                                          
U5.4        1056.00 m    2364.15 m   SPI1_NSEL                                                                          
U5.5        1075.67 m    2364.15 m   SPI1_SCLK                                                                          
U5.6        1095.33 m    2364.15 m   << unused >>                                                                       
U5.7        1123.85 m    2402.50 m   GND                                                                                
U5.8        1123.85 m    2461.50 m   3V3                                                                                
U5.9        1095.33 m    2499.85 m   << unused >>                                                                       
U5.10       1075.67 m    2499.85 m   N17245552                                                                          
U5.11       1056.00 m    2499.85 m   N17245550                                                                          
U5.12       1036.33 m    2499.85 m   N17276000                                                                          
U5.13       1016.67 m    2499.85 m   N17245546                                                                          
U5.14       988.15 m     2461.50 m   N17245438                                                                          
U5.15       1056.00 m    2432.00 m   << unused >>                                                                       
                                                                                                                        
U6.1        3944.00 m    1712.00 m   HSM_EN                                                                             
U6.2        3944.00 m    1737.58 m   N17009800                                                                          
U6.3        3944.00 m    1763.17 m   N17009796                                                                          
U6.4        3944.00 m    1788.75 m   N17009805                                                                          
U6.5        3944.00 m    1814.27 m   N17009789                                                                          
U6.6        3944.00 m    1839.83 m   N17009729                                                                          
U6.7        3944.00 m    1865.40 m   GND                                                                                
U6.8        3723.73 m    1865.40 m   HSM_NPG                                                                            
U6.9        3723.73 m    1839.83 m   HSM_NFLT                                                                           
U6.10       3723.73 m    1814.27 m   << unused >>                                                                       
U6.11       3723.73 m    1788.70 m   V48MOTOR                                                                           
U6.12       3723.73 m    1763.13 m   N17009718                                                                          
U6.13       3723.73 m    1737.57 m   N17009766                                                                          
U6.14       3723.73 m    1712.00 m   N17009765                                                                          
                                                                                                                        
U7.1        3768.00 m    752.00 m    N17211805                                                                          
U7.2        3768.00 m    777.58 m    V5_EN                                                                              
U7.3        3768.00 m    803.17 m    VIN                                                                                
U7.4        3768.00 m    828.75 m    << unused >>                                                                       
U7.5        3768.00 m    854.27 m    N17211604                                                                          
U7.6        3768.00 m    879.83 m    N17211584                                                                          
U7.7        3768.00 m    905.40 m    N17211813                                                                          
U7.8        3768.00 m    930.96 m    N17211809                                                                          
U7.9        4002.03 m    930.96 m    GND                                                                                
U7.10       4002.03 m    905.40 m    N17211576                                                                          
U7.11       4002.03 m    879.83 m    V5                                                                                 
U7.12       4002.03 m    854.27 m    GND                                                                                
U7.13       4002.03 m    828.70 m    N17211793                                                                          
U7.14       4002.03 m    803.13 m    N17211568                                                                          
U7.15       4002.03 m    777.57 m    N17211568                                                                          
U7.16       4002.03 m    752.00 m    N17211468                                                                          
U7.17       3885.00 m    841.48 m    GND                                                                                
                                                                                                                        
U8.1        3696.00 m    344.00 m    N17212903                                                                          
U8.2        3696.00 m    369.58 m    N17212795                                                                          
U8.3        3696.00 m    395.17 m    VIN                                                                                
U8.4        3696.00 m    420.75 m    << unused >>                                                                       
U8.5        3696.00 m    446.27 m    N17212815                                                                          
U8.6        3696.00 m    471.83 m    N17212849                                                                          
U8.7        3696.00 m    497.40 m    N17212859                                                                          
U8.8        3696.00 m    522.96 m    N17212855                                                                          
U8.9        3930.03 m    522.96 m    GND                                                                                
U8.10       3930.03 m    497.40 m    N17212827                                                                          
U8.11       3930.03 m    471.83 m    3V3                                                                                
U8.12       3930.03 m    446.27 m    GND                                                                                
U8.13       3930.03 m    420.70 m    N17212831                                                                          
U8.14       3930.03 m    395.13 m    N17212811                                                                          
U8.15       3930.03 m    369.57 m    N17212811                                                                          
U8.16       3930.03 m    344.00 m    N17212799                                                                          
U8.17       3813.00 m    433.48 m    GND                                                                                
                                                                                                                        
U9.1        2238.83 m    2398.43 m   N17011370                                                                          
U9.2        2238.83 m    2412.20 m   N17011370                                                                          
U9.3        2238.83 m    2435.80 m   V12BOARD                                                                           
U9.4        2238.83 m    2451.53 m   V12BOARD                                                                           
U9.5        2297.83 m    2481.03 m   GND                                                                                
U9.6        2317.50 m    2481.03 m   N170113250                                                                         
U9.7        2345.03 m    2453.50 m   GND                                                                                
U9.8        2345.03 m    2433.83 m   GND                                                                                
U9.9        2345.03 m    2414.17 m   GND                                                                                
U9.10       2345.03 m    2394.50 m   GND                                                                                
U9.11       2317.50 m    2366.97 m   N17011543                                                                          
U9.12       2297.83 m    2366.97 m   3V3                                                                                
U9.13       2238.83 m    2404.33 m   << unused >>                                                                       
U9.14       2238.83 m    2443.67 m   << unused >>                                                                       
                                                                                                                        
U10.1       1584.00 m    1840.00 m   VIN                                                                                
U10.2       1584.00 m    1814.42 m   V12BOARD_EN                                                                        
U10.3       1584.00 m    1788.83 m   N17054674                                                                          
U10.4       1584.00 m    1763.25 m   N17054688                                                                          
U10.5       1584.00 m    1737.73 m   N17054680                                                                          
U10.6       1584.00 m    1712.17 m   GND                                                                                
U10.7       1584.00 m    1686.60 m   N17054750                                                                          
U10.8       1584.00 m    1661.04 m   N17054732                                                                          
U10.9       1349.97 m    1661.04 m   N17011370                                                                          
U10.10      1349.97 m    1686.60 m   N17054666                                                                          
U10.11      1349.97 m    1712.17 m   N17054752                                                                          
U10.12      1349.97 m    1737.73 m   N17054858                                                                          
U10.13      1349.97 m    1763.30 m   N17054778                                                                          
U10.14      1349.97 m    1788.87 m   N17054866                                                                          
U10.15      1349.97 m    1814.43 m   N17054860                                                                          
U10.16      1349.97 m    1840.00 m   N17054700                                                                          
U10.17      1467.00 m    1750.52 m   << unused >>                                                                       
                                                                                                                        
U11.1       2806.97 m    2398.43 m   N17012134                                                                          
U11.2       2806.97 m    2412.20 m   N17012134                                                                          
U11.3       2806.97 m    2435.80 m   V12MOTOR                                                                           
U11.4       2806.97 m    2451.53 m   V12MOTOR                                                                           
U11.5       2865.97 m    2481.03 m   GND                                                                                
U11.6       2885.63 m    2481.03 m   N170120310                                                                         
U11.7       2913.17 m    2453.50 m   GND                                                                                
U11.8       2913.17 m    2433.83 m   GND                                                                                
U11.9       2913.17 m    2414.17 m   GND                                                                                
U11.10      2913.17 m    2394.50 m   GND                                                                                
U11.11      2885.63 m    2366.97 m   N17012233                                                                          
U11.12      2865.97 m    2366.97 m   3V3                                                                                
U11.13      2806.97 m    2404.33 m   << unused >>                                                                       
U11.14      2806.97 m    2443.67 m   << unused >>                                                                       
                                                                                                                        
U12.1       3376.00 m    1656.00 m   VIN                                                                                
U12.2       3376.00 m    1681.58 m   V12MOTOR_EN                                                                        
U12.3       3376.00 m    1707.17 m   N17056482                                                                          
U12.4       3376.00 m    1732.75 m   N17056496                                                                          
U12.5       3376.00 m    1758.27 m   N17056488                                                                          
U12.6       3376.00 m    1783.83 m   GND                                                                                
U12.7       3376.00 m    1809.40 m   N17056560                                                                          
U12.8       3376.00 m    1834.96 m   N17056540                                                                          
U12.9       3610.03 m    1834.96 m   N17012134                                                                          
U12.10      3610.03 m    1809.40 m   N17056472                                                                          
U12.11      3610.03 m    1783.83 m   N17056562                                                                          
U12.12      3610.03 m    1758.27 m   N17056646                                                                          
U12.13      3610.03 m    1732.70 m   N17056576                                                                          
U12.14      3610.03 m    1707.13 m   N17056654                                                                          
U12.15      3610.03 m    1681.57 m   N17056648                                                                          
U12.16      3610.03 m    1656.00 m   N17056508                                                                          
U12.17      3493.00 m    1745.48 m   << unused >>                                                                       
                                                                                                                        
U13.1       3292.00 m    768.00 m    N17410749                                                                          
U13.2       3292.00 m    805.50 m    GND                                                                                
U13.3       3292.00 m    843.00 m    GND                                                                                
U13.4       3192.00 m    843.00 m    VBATTERY                                                                           
U13.5       3192.00 m    805.50 m    N17410031                                                                          
U13.6       3192.00 m    768.00 m    VIN                                                                                
                                                                                                                        
U14.1       1447.50 m    845.50 m    N17411004                                                                          
U14.2       1447.50 m    808.00 m    GND                                                                                
U14.3       1447.50 m    770.50 m    GND                                                                                
U14.4       1547.50 m    770.50 m    VEXTPS                                                                             
U14.5       1547.50 m    808.00 m    N17410183                                                                          
U14.6       1547.50 m    845.50 m    VIN                                                                                
                                                                                                                        
Y1.1        1352.10 m    1000.00 m   VCC                                                                                
Y1.4        1303.90 m    1000.00 m   VCC                                                                                
Y1.3        1303.90 m    1064.00 m   OSC                                                                                
Y1.2        1352.10 m    1064.00 m   DGND                                                                               
                                                                                                                        
