************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
DL14       ORANGE           LED0603                         2584.00 m    1096.00 m   180      TOP                       
DL15       GREEN            LED0603                         2720.00 m    1192.00 m   180      TOP                       
DL16       GREEN            LED0603                         2720.00 m    1096.00 m   180      TOP                       
FL8        330UH@100KHZ     WE-SL1                          504.00 m     696.00 m    90       BOTTOM                    
FL12       600R @100MHZ     BLA2AB SERIES                   1024.00 m    2848.00 m   270      BOTTOM                    
FL14       120R@100MHZ      0402                            928.00 m     456.00 m    0        BOTTOM                    
FL15       120R@100MHZ      0402                            928.00 m     424.00 m    180      BOTTOM                    
FL16       120R@100MHZ      0402                            928.00 m     392.00 m    180      BOTTOM                    
FL17       120R@100MHZ      0402                            944.00 m     2568.00 m   180      TOP                       
FL18       120R@100MHZ      0402                            944.00 m     2600.00 m   180      TOP                       
FL19       120R@100MHZ      0402                            1528.00 m    2744.00 m   0        BOTTOM                    
FL21       120R@100MHZ      0402                            904.00 m     2704.00 m   270      TOP                       
FL22       120R@100MHZ      0402                            936.00 m     2704.00 m   270      TOP                       
FL23       120R@100MHZ      0402                            728.00 m     2736.00 m   90       TOP                       
FL24       120R@100MHZ      0402                            1080.00 m    2048.00 m   180      TOP                       
FL25       120R@100MHZ      0402                            1184.00 m    2032.00 m   270      TOP                       
J1         FTSH-110-01-L-DV FTSH-110-01-L-DV                754.00 m     834.00 m    0        TOP                       
J2         53398-0471       53398-0471                      1140.00 m    412.00 m    0        TOP                       
J3         53261-0471       53261-0471                      927.70 m     2791.93 m   180      TOP                       
J4         53261-0671       53261-0671                      574.00 m     364.00 m    0        TOP                       
J5         87438-0543       87438-0542                      818.00 m     344.00 m    0        BOTTOM                    
