P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
22;6251;;2;CC2 CC3;508;C;100pF;50V;10%;C0G;;;;Capacitor Array 4x100pF, 50V, 10%, C0G, SMD, 0508;AVX;W2A45A101K4T2A;FARNELL ITALIA S.R.L.;1779477;AVX;W2A45A101K4T2A;RS COMPONENTS S.P.A.;697-3187;AVX;W2A45A101K4T2A;MOUSER ELECTRONICS;581-W2A41A101KAT2A;Phycomp;CA0508KRNPO9BN101;RS COMPONENTS S.P.A.;697-3187;AVX;W2A41A101KAT2A
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
23;288;;1;P6;53261-0471;CO;53261-0471;1A;;;;;;PCB connector, Picoblade, 4 contacts, 1 row, male, p.1.25mm, 90°, w to b, lock, key, SMD;Molex;53261-0471;RS COMPONENTS S.P.A.;542-7113;Molex;53261-0471;FARNELL ITALIA S.R.L.;1125374;Molex;53261-0471;MOUSER ELECTRONICS;538-53261-0471;;;;;;
24;630;;2;P12 P13;53261-0571;CO;53261-0571;1A;;;;;;PCB connector, Picoblade, 5 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0571;FARNELL ITALIA S.R.L.;1125360;Molex;53261-0571;RS COMPONENTS S.P.A.;542-7270;;;;;;;;;;
25;631;;2;P10 P11;53261-0771;CO;53261-0771;1A;;;;;;PCB connector, Picoblade, 7 contacts, 1 row, male, 1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0771;FARNELL ITALIA S.R.L.;1125361;;;;;;;;;;;;;;
26;1072;;4;P2 P3 P4 P5;53261-1071;CO;53261-1071;1A;;;;;;PCB connector, Picoblade, 10 contacts, 1 row, male, p.1.25mm, 90°, w to b, nolock, nokey, SMD;Molex;53261-1071;RS COMPONENTS S.P.A.;542-7179;;;;;;;;;;;;;;
27;1124;;2;P8 P9;53261-0671;CO;53261-0671;1A;;;;;;PCB connector, Picoblade, 6 contacts, 1 row, male, p.1.25mm,  90°, w to b, nolock, key, SMD;Molex;53261-0671;FARNELL ITALIA S.R.L.;1125375;Molex;53261-0671;RS COMPONENTS S.P.A.;542-7135;;;;;;;;;;
28;1126;;1;P1;501591-3011;CO;501591-3011;1A;;;;;;PCB connector, Slimstack 30 contacts, 2 rows, male, p.0.4mm, Straight, b to b, lock, nokey, SMD;Molex;501591-3011;DIGI-KEY Germany;WM24042-ND;Molex;501591-3011;DIGI-KEY Germany;501591-3011-ND;;;;;;;;;;
29;4870;;1;JP1;JP0402, JP0603, JP0805, JP1210;CO;PCB jumper;;;;;;;Solderable PCB jumper, two pads, normally open;;;;;;;;;;;;;;;;;;
30;5452;;1;P7;MOLEX87438-0543;CO;87438-0543;3A;;;M.M;;;HEADER, PICO-SPOX, 5 contacts, Right Angle;Molex;87438-0543;FARNELL ITALIA S.R.L.;1711330;;;;;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
31;565;;1;D3;SOD123;DI;SS19L;1A;;;;;;Diode Schottky, Vrrm: 90V, If: 1A, Ifms: 30A, SMD, SOD123;Taiwan semiconductors;SS19L;FARNELL ITALIA S.R.L.;1559161;Taiwan semiconductors;SS19L;RS COMPONENTS S.P.A.;743-6015;;;;;;;;;;
32;1031;;2;D4 D5;DO214AC;DI;10MQ100N;2.1A;;;;;;Diode schottky, Vrrm: 100V, If: 2.1A, Ifms: 120A, SMD, DO214AC;International rectifier;10MQ100N;FARNELL ITALIA S.R.L.;8656916;;;;;;;;;;;;;;
33;1292;;2;D1 D2;SOT23;DI;BAV99;200mA;;;;;;Diode signal, Vrrm: 85V, If: 200mA, Pd: 330mW, SMD, SOT23;Infineon;BAV99;RS COMPONENTS S.P.A.;544-4859;Infineon;MMBD 7000 LT1;MOUSER ELECTRONICS;726-MMBD7000LT1;;;;;;;;;;
34;5325;;1;D6;SOD882D;DI;BAS16LD;215mA;;;;;;Diode high speed switching, Vrrm: 100V, If: 215mA, Ifms: 4A, SMD, SOD882D;NXP;BAS16LD;MOUSER ELECTRONICS;771-BAS16LD315;NXP;BAS16LD;FARNELL ITALIA S.R.L.;1859907;NXP;BAS16LD;DIGI-KEY Germany;568-5294-1-ND;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Intensity;Led_color;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
35;1653;;2;DL4 DL6;LED0603;DL;SML-511DWT86R;40mcd;Orange;;;;;Led diode, orange, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-511DWT86R;FARNELL ITALIA S.R.L.;1685072;;;;;;;;;;;;;;
36;1654;;4;DL1 DL3 DL7 DL8;LED0603;DL;SML-512MWT86R;40mcd;Green;;;;;Led diode, green, 2V, 20mA, 40mcd, SMD, 0603;Rohm;SML-512MWT86R;FARNELL ITALIA S.R.L.;1685076;;;;;;;;;;;;;;
37;1656;;1;DL2;LED0603;DL;OVS-0606;350mcd;Yellow;;;;;Led diode, yellow, 2.5V, 30mA, 350mcd, SMD, 0603;Avago technologies;OVS-0606;FARNELL ITALIA S.R.L.;1716772;Multicomp;MCL-S290YC;FARNELL ITALIA S.R.L.;1581246;;;;;;;;;;
38;4230;;1;DL5;LED0603;DL;HSMR-C190;55mcd;Blue;;;;;Led diode, blue, 3.3V, 20mA, 55mcd, SMD, 0603;Avago technologies;HSMR-C190;DIGI-KEY CORPORATION;516-2502-1-ND;Avago technologies;HSMR-C190;FARNELL ITALIA S.R.L.;1652108;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
39;241;;1;U11;SOT23-8;DR;MAX3051;3.3V;;;;;;CAN Transceiver, 3.3V, SMD, SOT23-8;Maxim;MAX3051EKA;DIGI-KEY CORPORATION;MAX3051EKA+T-ND;Maxim;MAX3051EKA;RS COMPONENTS S.P.A.;732-8992;Maxim;MAX3051EKA;MOUSER ELECTRONICS;700-MAX3051EKAT;;;;;;
40;1004;;1;U16;LFBGA100, KSZ8893MBL;DR;KSZ8893MBL;3.3V;;;;;;Ethernet switch, 10/100 Mb/s, 3 ports, 3.3V, SMD, LFBGA100;Micrel;KSZ8893MBL;DIGI-KEY CORPORATION;576-3090-ND;;;;;;;;;;;;;;
41;1328;;4;U12 U13 U14 U15;SSOP8, SN74LVC2T45;DR;SN74LVC2T45DCUT;3.6V;;;;;;Transceiver bus dual-bit, 3.6V, 50mA, max. input 3.6V, SMD, SSOP8;Texas Instruments;SN74LVC2T45DCUT;FARNELL ITALIA S.R.L.;9592768;;;;;;;;;;;;;;
42;5106;;2;U4 U7;VFQFPN7X7-48;DR;L6206Q;52V;;;MM;;;DMOS Full Bridge PWM Motor Driver 52V, 2.8A, SMD, QFN48;St microelectronics;L6206Q;MOUSER ELECTRONICS;511-L6206Q;St microelectronics;L6206Q;FARNELL ITALIA S.R.L.;2309396;;;;;;;;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code;;;;;;;;;;;;;;
43;545;;1;FL5;WE-SL1;FI;330uH@100KHz;+/-40%;300mA;80Vdc;;;;Common mode line filter, 330uH, 300mA, 80Vdc, SMD, 6.5x3.6mm;Wurth Elektronik;744212331;RS COMPONENTS S.P.A.;500-3199;;;;;;;;;;;;;;
44;5454;;1;FL4;805;FI;375R @100MHz;+/-25%;2A;-;;;;Ferrite bead, 2A, 350R @100MHz, SMD, 0805;Wurth Elektronic;742792037;FARNELL ITALIA S.R.L.;1800368RL;Wurth Elektronic;742792037;MOUSER ELECTRONICS;710-742792037;;;;;;;;;;
45;7010;;8;FL1 FL2 FL3 FL9 FL11 FL15 FL16 FL17;402;FI;120R@100MHz;+/-25%;500mA;-;;AM;;Ferrite bead, 500mA, 120R@100MHz, SMD, 0402;Murata;BLM15AG121SN1D;FARNELL ITALIA S.R.L.;1515760;;;;;;;;;;;;;;
46;10835;;2;FL10 FL14;BLA2A_1119_1;FI;600R @100MHz;+/-25%;100mA;-;;;;Ferrite beads array, 100mA, 600R @100MHz, SMD, 0804 (4x0402);Murata;BLA2ABD601SN4D;FARNELL ITALIA S.R.L.;1515796;Murata;BLA2ABD601SN4D;MOUSER ELECTRONICS;81-BLA2ABD601SN4D;;;;;;;;;;
