[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: Block: FT2_3
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPin
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2021.05.19 14:25:41] [0000m.01s.778ms] [2] Diagnostic: CesConfigCheck: CesPart
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2021.05.19 14:25:41] [0000m.01s.779ms] [2] Diagnostic: CesConfigCheck: CesNetClass
