P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
27;258;;5,00;DL4 DL5 DL6 DL7 DL8;LED0603;DL;ORANGE;8mcd;;;;;;Led diode, orange, 2.6V, 20mA, 8mcd, SMD, 0603;Avago technologies;HSMD-C190;FARNELL ITALIA S.R.L.;8554552;
28;259;;1,00;DL2;LED0603;DL;GREEN;15mcd;;;;;;Led diode, green, 2.6V, 20mA, 15mcd, SMD, 0603;Avago technologies;HSMG-C190;FARNELL ITALIA S.R.L.;8554609;
29;260;;1,00;DL10;LED0603;DL;BLUE;6mcd;;;;;;Led diode, blue, 3.8V, 25mA, 6mcd, SMD, 0603;Avago technologies;HSMB-C190;FARNELL ITALIA S.R.L.;3225112;Vishay;TLMB1100-GS08;FARNELL ITALIA S.R.L.;1328305RL;
30;261;;2,00;DL3 DL9;LED0603;DL;YELLOW;8mcd;;;;;;Led diode, yellow, 2.1V, 20mA, 8mcd, SMD, 0603;Avago technologies;HSMY-C190;FARNELL ITALIA S.R.L.;8554781;
31;1034;;1,00;DL1;LED0603;DL;RED;10mcd;;;;;;Led diode, HB red, 2,6V, 20mA, 10mcd, SMD, 0603;Avago technologies;HSMS-C190;FARNELL ITALIA S.R.L.;8554765;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
32;241;;2,00;U4 U5;SOT23-8;DR;MAX3051;3.3V;;;;;;CAN Transceiver, 3.3V, SMD, SOT23-8;Maxim;MAX3051EKA;DIGI-KEY CORPORATION;MAX3051EKA+T-ND;Maxim;MAX3051EKA;RS COMPONENTS S.P.A.;732-8992;Maxim;MAX3051EKA;MOUSER ELECTRONICS;700-MAX3051EKAT;
33;1004;;1,00;U3;LFBGA100, KSZ8893MBL;DR;KSZ8893MBL;3.3V;;;;;;Ethernet switch, 10/100 Mb/s, 3 ports, 3.3V, SMD, LFBGA100;Micrel;KSZ8893MBL;DIGI-KEY CORPORATION;576-3090-ND;
34;1007;;3,00;U6 U7 U8;QFN4X3-20;DR;SN74LVC244ARGYR;1.65/3.6V;;;;;;Octal buffer/driver, 1.65/3.6V, SMD, QFN4X3-20;Texas Instruments;SN74LVC244ARGYR;FARNELL ITALIA S.R.L.;1601173;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;;;;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
35;4268;;4,00;MH1 MH2 MH3 MH4;MH25;FAST;M2.5 Metallized hole;;;;;;;PCB hole, metallized, for M2.5 thread;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Tolerance;Current;Voltage;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
36;1118;;22,00;FB1 FB2 FB3 FB4 FB5 FB7 FB8 FB10 FB11 FB12 FB15 FB16 FB18 FB19 FB21 FB22 FB23 FB26 FB27 FB28 FB29 FB30;0402;FI;600R @100MHz;+/-25%;300mA;-;;;;Ferrite bead, 300mA, 600R @100MHz, SMD, 0402;Murata;BLM15AG601SN1D;FARNELL ITALIA S.R.L.;1515762;
37;1121;;2,00;L3 L4;WE-SLM;FI;51uH@100KHz;+50/-30%;300mA;42Vac;;;;Common mode filter, 51uH, 300mA, 42Vac, SMD, 6x5mm;Wurth Elektronik;744242510;DIGI-KEY CORPORATION;732-1684-1-ND;
38;10835;;6,00;FB13 FB14 FB17 FB20 FB24 FB25;BLA2A_1119_1;FI;600R @100MHz;+/-25%;100mA;-;;;;Ferrite beads array, 100mA, 600R @100MHz, SMD, 0804 (4x0402);Murata;BLA2ABD601SN4D;FARNELL ITALIA S.R.L.;1515796;Murata;BLA2ABD601SN4D;MOUSER ELECTRONICS;81-BLA2ABD601SN4D;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Inductance;Current;Tolerance;SRF;RMS;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
39;1122;;1,00;L5;4p8x4p8;L;33uH;820mA;10%;16MHz;;;;Inductance, 33uH, 820mA, 10%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043330;DIGI-KEY CORPORATION;732-1108-1-ND;Wurth Elektronic;744043330;RS COMPONENTS S.P.A.;744-4763;Bourns;SRR4028-330Y;DIGI-KEY CORPORATION;SRR4028-330YCT-ND;
40;1123;;1,00;L6;4p8X4p8;L;47uH;750mA;30%;10MHz;;;;Inductance, 47uH, 750mA, 30%, SMD, 4.8X4.8x2.8mm;Wurth Elektronic;744043470;DIGI-KEY CORPORATION;732-1109-1-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Memory_dimension;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
41;4125;;1,00;U2;TSSOP8;ME;AT24C1024B-TH25-B;1Mbit;;;;;;EEPROM memory, 1Mbit, 1Mhz, 2.5/5.5V, SMD, TSSOP8;Atmel;AT24C1024B-TH25-B;DIGI-KEY CORPORATION;AT24C1024B-TH25-B-ND;Atmel;AT24C1024B-TH25-B;MOUSER ELECTRONICS;556-A24C1024BTH25-B;Atmel;AT24CM01-XHD-B;MOUSER ELECTRONICS;556-AT24CM01-XHD-B;Atmel;AT24CM01-XHD-B;DIGI-KEY CORPORATION;AT24CM01-XHD-TCT-ND;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
42;4260;;1,00;U1;LQFP100, STM32F407VGT6;MI;STM32F407VGT6;32bit;;;;;;Microcontroller ARM Cortex-M4, 32Bits, 168MHz, 1024kB FLASH, 192kB SRAM, 1.8/3.6V, SMD, LQFP100;St microelectronics;STM32F407VGT6;MOUSER ELECTRONICS;511-STM32F407VGT6;St microelectronics;STM32F407VGT6;RS COMPONENTS S.P.A.;746-8226;St microelectronics;STM32F407VGT6;FARNELL ITALIA S.R.L.;2064368;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
43;4547.3;;1,00;PCB1;;PCB;EMS4_3;;;;;;;EMS4 - Printed circuit board, Ethernet Motor Supervisor (EMS) board, with Cortex-M4 processor;IIT;4547.3;;;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Load capacitance;Stability;Frequency;Pieces_quoted;Prepared;;Description;Manuf;Manuf Code;Supplier;Supplier Code
44;1226;;1,00;U14;S2;Q;S23305-50.000-X;-;50ppm;50MHz;;;;Oscillator, 50MHz, 3.3V, 50ppm, SMD, 2.5x2mm;Aker;S23305-50.000-X;RS COMPONENTS S.P.A.;671-9808;Kyocera;KC2520B50.0000C10E00;MOUSER ELECTRONICS;581-KC2520B50.0C10;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
45;1080;;19,00;R148 R51 R54 R59 R62 R66 R69 R70 R72 R75 R77 R78 R80 R83 R85 R86 R88 R91 R93;0402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;
46;1081;;8,00;R20 R21 R22 R23 R29 R30 R31 R32;0402;R;49R9;0.063W;1%;200ppm;;;;Resistor Thick film, 49R9, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 49R9;FARNELL ITALIA S.R.L.;1802906RL;
47;1084;;4,00;R47 R48 R137 R138;0402;R;75R;0.063W;1%;100ppm;;;;Resistor Thick film, 75R, 0.063W, 1%, SMD, 0402;Vishay;CRCW040275R0FKED;FARNELL ITALIA S.R.L.;1469734RL;
48;1085;;1,00;R55;0402;R;100R;0.063W;1%;100ppm;;;;Resistor Thick film, 100R, 0.063W, 1%, SMD, 0402;Vishay;CRCW0402100RFKED;FARNELL ITALIA S.R.L.;1469672RL;
49;1086;;3,00;R60 R67 R101;0402;R;120R;0.063W;1%;100ppm;;;;Resistor Thick film, 120R, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-07120RL;FARNELL ITALIA S.R.L.;9239120;Yageo;RC0402FR-07120RL;DIGI-KEY CORPORATION;311-120LRDKR-ND;
50;1087;;8,00;R14 R15 R16 R17 R24 R38 R56 R63;0402;R;220R;0.063W;1%;100ppm;;;;Resistor Thick film, 220R, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 220R;FARNELL ITALIA S.R.L.;1358024RL;
51;1100;;12,00;R57 R64 R118 R120 R122 R124 R126 R129 R132 R135 R136 R151;0402;R;1K;0.063W;1%;250ppm;;;;Resistor Thick film, 1K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-071KL;FARNELL ITALIA S.R.L.;9239235;Vishay;CRCW04021K00FKED;FARNELL ITALIA S.R.L.;1469662RL;
52;1101;;2,00;R105 R108;0402;R;1K3;0.063W;1%;100ppm;;;;OBSOLETO - Resistor Thick film, 1K3, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 1K3;FARNELL ITALIA S.R.L.;1358046;
53;1104;;1,00;R112;0402;R;1K8;0.063W;1%;200ppm;;;;Resistor Thick film, 1K8, 0.063W, 1%, SMD, 0402;Panasonic;ERJ2RKF1801X;FARNELL ITALIA S.R.L.;1748232;
54;1105;;1,00;R100;0402;R;2K2;0.063W;1%;250ppm;;;;Resistor Thick film, 2K2, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-072K2L;FARNELL ITALIA S.R.L.;9239278RL;
55;1106;;1,00;R46;0402;R;3K01;0.063W;1%;100ppm;;;;Resistor Thick film, 3K01, 0.063W, 1%, SMD, 0402;Vishay;CRCW04023K01FKED;FARNELL ITALIA S.R.L.;1151124;
56;1107;;4,00;R6 R7 R152 R153;0402;R;4K7;0.063W;1%;100ppm;;;;Resistor Thick film, 4K7, 0.063W, 1%, SMD, 0402;Vishay;CRCW04024K70FKED;FARNELL ITALIA S.R.L.;1469712RL;
57;1108;;1,00;R107;0402;R;5K6;0.063W;1%;250ppm;;;;Resistor Thick film, 5K6, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-075K6L;FARNELL ITALIA S.R.L.;9239324RL;
58;1109;;25,00;R5 R18 R19 R34 R35 R45 R58 R65 R94 R95 R96 R97 R110 R113 R114 R115 R116 R117 R134 R139 R140 R141 R142 R149 R150;0402;R;10K;0.063W;1%;250ppm;;;;Resistor Thick film, 10K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0710KL;FARNELL ITALIA S.R.L.;9239359RL;
59;1111;;2,00;R103 R111;0402;R;18K;0.063W;1%;25ppm;;;;Resistor Thick film, 18K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0718KL;FARNELL ITALIA S.R.L.;9239383RL;
60;1112;;3,00;R1 R104 R109;0402;R;22K;0.063W;1%;250ppm;;;;Resistor Thick film, 22K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0722KL;FARNELL ITALIA S.R.L.;9239391RL;
61;1113;;4,00;R2 R4 R130 R133;0402;R;33K;0.063W;1%;250ppm;;;;Resistor Thick film, 33K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0733KL;FARNELL ITALIA S.R.L.;9239413RL;
62;1114;;1,00;R98;0402;R;68K;0.063W;1%;250ppm;;;;Resistor Thick film, 68K, 0.063W, 1%, SMD, 0402;Yageo;RC0402FR-0768K;FARNELL ITALIA S.R.L.;9239456RL;
63;1116;;6,00;RR1 RR2 RR3 RR4 RR5 RR6;YC124;R;2K2;0.063W;5%;200ppm;;;;Resistor Array, 4x2K2, 0.063W,1%, SMD, YC124;Yageo;YC124-JR-072K2L;FARNELL ITALIA S.R.L.;9235388;
64;1704;;1,00;R102;0402;R;12K;0.063W;1%;200ppm;;;;Resistor Thick film, 12K, 0.063W, 1%, SMD, 0402;Vishay;CRCW040212K0FKED;DIGI-KEY CORPORATION;541-12.0KLDKR-ND;Vishay;CRCW040212K0FKED;FARNELL ITALIA S.R.L.;2140866RL;
65;3174;;2,00;R3 R143;0402;R;330K;0.063W;1%;100ppm;;;;Resistor Thick film, 330K, 0.063W, 1%, SMD, 0402;Multicomp;MC 0.0625W 0402 1% 330K;FARNELL ITALIA S.R.L.;1358109RL;
66;6462;;6,00;R154 R155 R156 R157 R158 R159;0402;R;360R;0.063W;1%;100ppm;;;;Resistor Thick film, 360R, 0.063W, 1%, SMD, 0402;Multicomp;MC00625W04021360R;FARNELL ITALIA S.R.L.;1358031RL;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Pieces_quoted;Prepared;;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
67;1008;;2,00;U10 U11;HTSSOP16;RG;LM5575MH;6V/75V;;;;;;Voltage regulator, switching, step-down, Vin 6/75V, Vout 1.225V, 1.5A, SMD, HTSSOP16;National Semiconductor;LM5575MH;FARNELL ITALIA S.R.L.;1325420;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Ranges;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
68;1025;;1,00;U12;LIS331DLH, LGA3X3-16;SE;LIS331DLH;2.16/3.6V;;;;;;Three axes digital nano accelerometer, 2.16/3.6V, SMD, LGA3x3-16;St microelectronics;LIS331DLH;DIGI-KEY CORPORATION;497-8831-ND;St microelectronics;LIS331DLH;FARNELL ITALIA S.R.L.;1838523;
69;1030;;1,00;U13;LGA4x4-16, L3G4200D;SE;L3G4200D;2.16/3.6V;;;;;;3 axes digital output gyroscope, 2.4/3.6V, LGA4x4-16, SMD;St microelectronics;L3G4200D;MOUSER ELECTRONICS;511-L3G4200DH;St microelectronics;L3G4200D;FARNELL ITALIA S.R.L.;1872924;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
70;1120;;2,00;L1 L2;WE-LAN;TS;749010012;;;;;;;Transformer WE-LAN, 350uH, p.1.27mm, SMD;Wurth Elektronik;749010012;FARNELL ITALIA S.R.L.;1636345;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
71;4871;X;6,00;TP1 TP2 TP3 TP4 TP5 TP9;TP-ATE-LS;CO;-;;;;;;;OBSOLETE - Test point, PCB, solder side, for automatic test equipment;
72;4875;X;4,00;1 2 3 4;NODEK;CO;;;;;;;;PCB equipotential node, 3 terminal;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Resistance;Power;Tolerance;Stability;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
73;1080;X;1,00;R147;0402;R;0R;0.063W;1%;200ppm;;;;Resistor Thick film, 0R, 0.063W, 1%, SMD, 0402;Yageo;RC0402JR-070RL;FARNELL ITALIA S.R.L.;9232516;Yageo;RC0402JR-070RL;DIGI-KEY CORPORATION;311-0.0JRDKR-ND;
