Part Lister output for UZCB
Generated on Wednesday, December 02, 2020
 |#    |QTY  |Part Number      |Description                                |Value |Ref Designator  |
 | 38  | 1   |PICOLOCK-10X1-MA |PCB connector, Pico-Lock, 10 contacts,     |50405 |J12             |
 |     |     |LE90-P150        | 1 row, male, p.1.5mm, 90°, w to b, lock, |0-109 |                |
 |     |     |                 | key, SMD                                  |1     |                |
 | 39  | 1   |SAMTEC-FTSH-103- |PCB connector, SAMTEC FTSH-110-01-L-DH,    |FTSH1 |J17             |
 |     |     |01-L-DV          | 6 contacts, 2 rows, p.1mm, b to flat,     |03-01 |                |
 |     |     |                 | SMD, straight                             |-L-DV |                |
 | 40  | 2   |USB3_TYPE_C_1240 |USB socket, Type C, USB3.1, SMD,           |      |J19,J20         |
 |     |     |1598E4           | Amphenol 24 Pin                           |      |                |
 | 41  | 1   |MOLEX-UUSB-B-5-F |PCB connector, microUSB type B, 5 contact, |47346 |J26             |
 |     |     |EM90_NO-FLANGES  | socket, 90°, w to b, without flanges,    |-1001 |                |
 |     |     |                 | SMD                                       |      |                |
 | 42  | 2   |HIROSE-FX10A-168 |PCB connector, FX10, 168 contacts, 2 rows, |FX10A |J27,J28         |
 |     |     |P-SV             | receptacle, p. 0.5 mm, Straight, b to b,  |-168P |                |
 |     |     |                 | lock, key, SMD                            |-SV(9 |                |
 |     |     |                 |                                           |3)    |                |
 | 43  | 1   |AMPHENOL-98424-G |PCB connector, Minitek, 10 contacts,       |98424 |J50             |
 |     |     |52-10LF          | 2 row, male, p.2mm, Straight, w to b,     |-G52- |                |
 |     |     |                 | nolock, key, SMD                          |10    |                |
 | 44  | 37  |RES-0402-10K-1TO |Resistor Thick film, 10K, 0.063W, 1%, SMD, |      |R1-R3,R15-R43,  |
 |     |     |L                | 0402                                      |      |R158-R162       |
 | 45  | 2   |RES-0402-4K12-1T |Resistor Thick film, 4K12, 0.063W, 1%,     |      |R44,R45         |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 46  | 1   |RES-0402-324K-1T |Resistor Thick film, 324K, 0.063W, 1%,     |      |R46             |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 47  | 14  |RES-0201-100R-1T |Resistor Thick film, 100R, 0.05W, 1%, SMD, |      |R47,R48,        |
 |     |     |OL               | 0201                                      |      |R144-R155       |
 | 48  | 2   |RES-0402-22R-1TO |Resistor Thick film, 22R, 0.063W, 1%, SMD, |      |R49,R50         |
 |     |     |L                | 0402                                      |      |                |
 | 49  | 57  |RES-0402-0R-1TOL |Resistor Thick film, 0R, 0.063W, 1%, SMD,  |      |R51-R78,        |
 |     |     |                 | 0402                                      |      |R82-R110        |
 | 50  | 4   |RES-0402-75R-1TO |Resistor Thick film, 75R, 0.063W, 1%, SMD, |      |R111-R114       |
 |     |     |L                | 0402                                      |      |                |
 | 51  | 2   |RES-0402-330R-1T |Resistor Thick film, 330R, 0.063W, 1%,     |      |R115,R116       |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 52  | 17  |RES-0402-100R-1T |Resistor Thick film, 100R, 0.063W, 1%,     |      |R117-R132,R134  |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 53  | 1   |RES-0603-5K1-1TO |Resistor Thick film, 5K1, 0.063W, 1%, SMD, |      |R133            |
 |     |     |L                | 0603                                      |      |                |
 | 54  | 2   |RES-0201-20K-1TO |Resistor Thick film, 20K, 0.05W, 1%, SMD,  |      |R135,R136       |
 |     |     |L                | 0201                                      |      |                |
 | 55  | 1   |RES-0402-1K-1TOL |Resistor Thick film, 1K, 0.063W, 1%, SMD,  |      |R137            |
 |     |     |                 | 0402                                      |      |                |
 | 56  | 2   |RES-0603-120R-1T |Resistor Thick film, 120R, 0.1W, 1%, SMD,  |      |R138,R139       |
 |     |     |OL               | 0603                                      |      |                |
 | 57  | 1   |RES-0402-47K-1TO |Resistor Thick film, 47K, 0.063W, 1%, SMD, |      |R140            |
 |     |     |L                | 0402                                      |      |                |
 | 58  | 1   |RES-0805-820R-1T |Resistor Thick film, 820R, 0.1W, 1%, SMD,  |      |R142            |
 |     |     |OL               | 0805                                      |      |                |
 | 59  | 1   |RES-0402-390R-1T |Resistor Thick film, 390R, 0.063W, 1%,     |      |R143            |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 60  | 2   |RES-0402-1K5-1TO |Resistor Thick film, 1K5, 0.063W, 1%, SMD, |      |R156,R157       |
 |     |     |L                | 0402                                      |      |                |
 | 61  | 1   |RES-0402-220K-1T |Resistor Thick film, 220K, 0.063W, 1%,     |      |R163            |
 |     |     |OL               | SMD, 0402                                 |      |                |
 | 62  | 2   |CUS-12TB         |SWITCH SLIDE SPDT 300MA 4V                 |      |S1,S2           |
 | 63  | 1   |TERMINAL-TEST-S2 |Test point, SMD,  0603                     |S2761 |TP1             |
 |     |     |761-0603         |                                           |-46R  |                |
 | 64  | 1   |LTM4622AEV       |Not insulated, DC/DC Converter,            |LTM46 |U1              |
 |     |     |                 | Vin 3.6/20V, Vout ADJ 0.6/2.5V, SMD,      |22AEV |                |
 |     |     |                 | LGA6X6-25                                 |      |                |
 | 65  | 1   |24LC256          |EEPROM memory, 256kbit, 400kHz, 2.5/5.5V,  |24LC2 |U3              |
 |     |     |                 | SMD, DFN8                                 |56    |                |
 | 66  | 4   |PTN36221AHXZ     |USB interface, Redriver USB Superspeed,    |PTN36 |U6-U9           |
 |     |     |                 | USB 3.0, 1.8V, X2QFN12                    |221AH |                |
 |     |     |                 |                                           |XZ    |                |
 | 67  | 1   |H5120NL          |Transformer LAN, 1000BASE-T single port,   |H5120 |U10             |
 |     |     |                 | p.1.27mm, SMD                             |NL    |                |
 | 68  | 1   |SI7051-A20-IM    |Temperature sensor, local, low voltage,    |SI705 |U11             |
 |     |     |                 | digital, I2C, 14 bits, -40/+125C°,       |1-A20 |                |
 |     |     |                 | 1.9/3.6V, SMD, 6-WDFN I2C addresses 0x40  |-IM   |                |
 | 69  | 1   |AD9522-1BCPZ     |                                           |      |U13             |
 | 70  | 2   |TCAN334DCNT      |CAN Transceiver with CAN FD (Flexible Data |TCAN3 |U14,U15         |
 |     |     |                 | Rate), 3.3V, SMD, SOT23-8                 |34DCN |                |
 |     |     |                 |                                           |T     |                |
 | 71  | 1   |BNO055           |Nine axis IMU (accelerometer, gyroscope,   |BNO05 |U16             |
 |     |     |                 | compass), integrated cortex M0, 13.7mA,   |5     |                |
 |     |     |                 | 2.4/3.6V, SMD, LGA5X4-28                  |      |                |
 | 72  | 1   |KEYSTONE3000     |                                           |      |U17             |
 | 73  | 1   |TXS02612RTWR     |SDIO port expander with voltage level tran |TXS02 |U18             |
 |     |     |                 |slation, 1.1/3.6V, 60MHz, SMD, QFN4X4-24   |612RT |                |
 |     |     |                 |                                           |WR    |                |
 | 74  | 1   |CP2102N-A02-GQFN |USB Interface IC USBXpress - USB to UART B |CP210 |U19             |
 |     |     |20R              |ridge, SMD, QFN3X3-20                      |2N-A0 |                |
 |     |     |                 |                                           |2-GQF |                |
 |     |     |                 |                                           |N20R  |                |
 | 75  | 1   |LSF0108RKSR      |Auto-BidirectionalMulti-VoltageLevel Trans |LSF01 |U20             |
 |     |     |                 |lator, 8 channels                          |08RKS |                |
 |     |     |                 |                                           |R     |                |
 | 76  | 1   |C1E-25MHZ-12PF-3 |Quartz, 25MHz, 30ppm, SMD, 2x1.6mm         |C1E-2 |Y1              |
 |     |     |0PPM             |                                           |5.000 |                |
 |     |     |                 |                                           |-12-3 |                |
 |     |     |                 |                                           |030-X |                |
 | 77  | 1   |ST2012SB32768C0H |Quartz, 32.768KHz, 20ppm, SMD, 2x1.2mm     |ST201 |Y2              |
 |     |     |PWBB             |                                           |2SB32 |                |
 |     |     |                 |                                           |768C0 |                |
 |     |     |                 |                                           |HPWBB |                |
